type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
steams,,,5,0,3,0,25.37,0
dotard,,,5,0,2,0,25.37,0
gloomily,,,5,0,3,0,25.37,0
whitfoot,,,5,0,2,0,25.37,0
twitching,,,5,0,2,0,25.37,0
beornings,,,5,0,2,0,25.37,0
uncounted,,,5,0,3,0,25.37,0
hewing,,,5,0,2,0,25.37,0
limbed,,,5,0,2,0,25.37,0
unfurled,,,5,0,3,0,25.37,0
mugs,,,5,0,2,0,25.37,0
despaired,,,5,0,2,0,25.37,0
stank,,,5,0,3,0,25.37,0
goblins,,,5,0,2,0,25.37,0
rejoicing,,,5,0,2,0,25.37,0
riven,,,5,0,2,0,25.37,0
grovelling,,,5,0,2,0,25.37,0
sorely,,,5,0,2,0,25.37,0
sapling,,,5,0,2,0,25.37,0
clammy,,,5,0,2,0,25.37,0
laurelindórenan,,,5,0,2,0,25.37,0
assailing,,,5,0,3,0,25.37,0
cormallen,,,5,0,1,0,25.37,0
painfully,,,5,0,3,0,25.37,0
waylaid,,,5,0,2,0,25.37,0
sammath,,,5,0,1,0,25.37,0
hangings,,,5,0,1,0,25.37,0
harfoots,,,5,0,1,0,25.37,0
boles,,,5,0,2,0,25.37,0
hastening,,,5,0,3,0,25.37,0
loudwater,,,5,0,1,0,25.37,0
slumber,,,5,0,3,0,25.37,0
grunted,,,5,0,1,0,25.37,0
grimbold,,,5,0,2,0,25.37,0
chetwood,,,5,0,2,0,25.37,0
specks,,,5,0,1,0,25.37,0
staddle,,,5,0,2,0,25.37,0
valandil,,,5,0,2,0,25.37,0
sss,,,5,0,1,0,25.37,0
scorched,,,5,0,2,0,25.37,0
squealed,,,5,0,1,0,25.37,0
vapours,,,5,0,3,0,25.37,0
labouring,,,5,0,3,0,25.37,0
pillared,,,5,0,3,0,25.37,0
daunt,,,5,0,3,0,25.37,0
ladyship,,,5,0,2,0,25.37,0
quivered,,,5,0,1,0,25.37,0
choking,,,5,0,3,0,25.37,0
whirled,,,5,0,3,0,25.37,0
wain,,,5,0,1,0,25.37,0
helpless,,,5,0,2,0,25.37,0
curunír,,,5,0,1,0,25.37,0
journeying,,,5,0,2,0,25.37,0
khazâd,,,5,0,1,0,25.37,0
celebdil,,,5,0,3,0,25.37,0
shrivelled,,,5,0,2,0,25.37,0
sundering,,,5,0,2,0,25.37,0
hoarwell,,,5,0,1,0,25.37,0
thrór,,,5,0,1,0,25.37,0
windlord,,,5,0,3,0,25.37,0
shrunken,,,5,0,2,0,25.37,0
eyelids,,,5,0,3,0,25.37,0
tilled,,,5,0,3,0,25.37,0
stunted,,,5,0,3,0,25.37,0
stung,,,5,0,2,0,25.37,0
hoards,,,5,0,3,0,25.37,0
cheeks,,,5,0,2,0,25.37,0
shuffled,,,5,0,2,0,25.37,0
bewilderment,,,5,0,3,0,25.37,0
ethir,,,5,0,2,0,25.37,0
hmm,,,5,0,1,0,25.37,0
shutters,,,5,0,2,0,25.37,0
toiling,,,5,0,2,0,25.37,0
insolence,,,5,0,3,0,25.37,0
merrier,,,5,0,3,0,25.37,0
quaking,,,5,0,2,0,25.37,0
nosing,,,5,0,2,0,25.37,0
mathom,,,5,0,1,0,25.37,0
famished,,,5,0,2,0,25.37,0
mazarbul,,,5,0,1,0,25.37,0
impatiently,,,5,0,2,0,25.37,0
swarthy,,,5,0,3,0,25.37,0
prowling,,,5,0,3,0,25.37,0
flecked,,,5,0,3,0,25.37,0
proudfoot,,,5,0,1,0,25.37,0
hornblower,,,5,0,2,0,25.37,0
propped,,,5,0,3,0,25.37,0
neighing,,,5,0,3,0,25.37,0
rimmon,,,5,0,1,0,25.37,0
pricked,,,5,0,3,0,25.37,0
witless,,,5,0,3,0,25.37,0
sweating,,,5,0,2,0,25.37,0
needn,,,5,0,3,0,25.37,0
forgetful,,,5,0,3,0,25.37,0
hushed,,,5,0,3,0,25.37,0
shrewd,,,5,0,3,0,25.37,0
northfarthing,,,5,0,3,0,25.37,0
lhaw,,,5,0,1,0,25.37,0
featureless,,,5,0,3,0,25.37,0
sheathed,,,5,0,2,0,25.37,0
feasting,,,5,0,3,0,25.37,0
wink,,,5,0,2,0,25.37,0
immeasurable,,,5,0,3,0,25.37,0
birches,,,5,0,2,0,25.37,0
avenge,,,5,0,3,0,25.37,0
frail,,,5,0,3,0,25.37,0
hillmen,,,5,0,2,0,25.37,0
cheated,,,5,0,2,0,25.37,0
hilts,,,5,0,2,0,25.37,0
dozed,,,5,0,2,0,25.37,0
brego,,,5,0,2,0,25.37,0
drowsy,,,5,0,3,0,25.37,0
glances,,,5,0,3,0,25.37,0
sentinels,,,5,0,3,0,25.37,0
númenoreans,,,5,0,2,0,25.37,0
befell,,,5,0,3,0,25.37,0
lithui,,,5,0,2,0,25.37,0
trickled,,,5,0,2,0,25.37,0
gladness,,,5,0,3,0,25.37,0
girdle,,,5,0,2,0,25.37,0
dully,,,5,0,3,0,25.37,0
robbers,,,5,0,3,0,25.37,0
blushed,,,5,0,2,0,25.37,0
sidelong,,,5,0,2,0,25.37,0
eleventy,,,5,0,1,0,25.37,0
mûmakil,,,5,0,1,0,25.37,0
doughty,,,5,0,3,0,25.37,0
sterner,,,5,0,3,0,25.37,0
strangest,,,5,0,3,0,25.37,0
stoors,,,6,0,1,0,30.444,0
swirled,,,6,0,3,0,30.444,0
girt,,,6,0,3,0,30.444,0
merrily,,,6,0,3,0,30.444,0
tarried,,,6,0,3,0,30.444,0
ghastly,,,6,0,2,0,30.444,0
hoo,,,6,0,1,0,30.444,0
wisest,,,6,0,3,0,30.444,0
elvenhome,,,6,0,3,0,30.444,0
isenmouthe,,,6,0,1,0,30.444,0
prudence,,,6,0,2,0,30.444,0
busied,,,6,0,3,0,30.444,0
healers,,,6,0,1,0,30.444,0
cavernous,,,6,0,2,0,30.444,0
angmar,,,6,0,2,0,30.444,0
thongs,,,6,0,3,0,30.444,0
livid,,,6,0,1,0,30.444,0
fornost,,,6,0,2,0,30.444,0
wold,,,6,0,2,0,30.444,0
sunless,,,6,0,3,0,30.444,0
brooded,,,6,0,2,0,30.444,0
windless,,,6,0,3,0,30.444,0
innkeeper,,,6,0,1,0,30.444,0
mend,,,6,0,3,0,30.444,0
stuffy,,,6,0,2,0,30.444,0
innumerable,,,6,0,2,0,30.444,0
fathoms,,,6,0,3,0,30.444,0
beckoned,,,6,0,3,0,30.444,0
evenstar,,,6,0,2,0,30.444,0
húrin,,,6,0,2,0,30.444,0
toiled,,,6,0,2,0,30.444,0
eriador,,,6,0,1,0,30.444,0
